temp	time
61.85	00:53:42
61.76	00:53:52
61.80	00:54:02
61.82	00:54:12
61.80	00:54:22
61.77	00:54:32
61.79	00:54:43
61.71	00:54:53
61.70	00:55:03
61.77	00:55:13
61.73	00:55:23
61.67	00:55:33
61.74	00:55:43
61.80	00:55:53
61.67	00:56:03
61.73	00:56:13
61.77	00:56:23
61.78	00:56:33
61.65	00:56:43
61.71	00:56:53
61.67	00:57:04
61.72	00:57:14
61.66	00:57:24
61.71	00:57:34
61.70	00:57:44
61.71	00:57:54
61.71	00:58:04
61.71	00:58:14
61.64	00:58:24
61.71	00:58:34
61.72	00:58:44
61.69	00:58:54
61.73	00:59:04
61.70	00:59:15
61.67	00:59:25
61.66	00:59:35
61.61	00:59:45
61.70	00:59:55
61.65	01:00:05
61.64	01:00:15
61.65	01:00:25
61.68	01:00:35
61.70	01:00:45
61.66	01:00:55
61.66	01:01:05
61.68	01:01:15
61.65	01:01:25
61.70	01:01:36
61.66	01:01:46
61.64	01:01:56
61.64	01:02:06
61.64	01:02:16
61.64	01:02:26
61.64	01:02:36
61.59	01:02:46
61.63	01:02:56
61.60	01:03:06
61.68	01:03:16
61.64	01:03:26
61.61	01:03:36
61.60	01:03:47
61.59	01:03:57
61.61	01:04:07
61.64	01:04:17
61.61	01:04:27
61.62	01:04:37
61.60	01:04:47
61.61	01:04:57
61.57	01:05:07
61.57	01:05:17
61.63	01:05:27
61.64	01:05:37
61.59	01:05:47
61.64	01:05:57
61.58	01:06:08
61.57	01:06:18
61.60	01:06:28
61.60	01:06:38
61.57	01:06:48
61.58	01:06:58
61.64	01:07:08
61.61	01:07:18
61.60	01:07:28
61.61	01:07:38
61.62	01:07:48
61.61	01:07:58
61.61	01:08:08
61.61	01:08:18
61.61	01:08:29
61.60	01:08:39
61.56	01:08:49
61.58	01:08:59
61.59	01:09:09
61.55	01:09:19
61.57	01:09:29
61.57	01:09:39
61.56	01:09:49
61.57	01:09:59
61.59	01:10:09
61.55	01:10:19
61.58	01:10:29
61.57	01:10:40
61.61	01:10:50
61.57	01:11:00
61.58	01:11:10
61.56	01:11:20
61.56	01:11:30
61.57	01:11:40
61.59	01:11:50
61.57	01:12:00
61.55	01:12:10
61.57	01:12:20
61.58	01:12:30
61.57	01:12:40
61.58	01:12:50
61.57	01:13:01
61.58	01:13:11
61.57	01:13:21
61.57	01:13:31
61.57	01:13:41
61.57	01:13:51
61.57	01:14:01
61.58	01:14:11
61.56	01:14:21
61.55	01:14:31
61.58	01:14:41
61.59	01:14:51
61.56	01:15:01
61.55	01:15:12
61.55	01:15:22
61.55	01:15:32
61.57	01:15:42
61.57	01:15:52
61.57	01:16:02
61.55	01:16:12
61.60	01:16:22
61.57	01:16:32
61.57	01:16:42
61.56	01:16:52
61.54	01:17:02
61.54	01:17:12
61.56	01:17:22
61.56	01:17:33
61.57	01:17:43
61.57	01:17:53
61.55	01:18:03
61.55	01:18:13
61.56	01:18:23
61.55	01:18:33
61.53	01:18:43
61.53	01:18:53
61.57	01:19:03
61.57	01:19:13
61.56	01:19:23
61.56	01:19:33
61.55	01:19:44
61.54	01:19:54
61.56	01:20:04
61.56	01:20:14
61.55	01:20:24
61.57	01:20:34
61.54	01:20:44
61.59	01:20:54
61.58	01:21:04
61.57	01:21:14
61.54	01:21:24
61.55	01:21:34
61.56	01:21:44
61.55	01:21:54
61.54	01:22:05
61.57	01:22:15
61.57	01:22:25
61.56	01:22:35
61.53	01:22:45
61.56	01:22:55
61.54	01:23:05
61.54	01:23:15
61.56	01:23:25
61.56	01:23:35
61.56	01:23:45
61.55	01:23:55
61.56	01:24:05
61.54	01:24:15
61.55	01:24:26
61.56	01:24:36
61.56	01:24:46
61.57	01:24:56
61.54	01:25:06
61.57	01:25:16
61.55	01:25:26
61.54	01:25:36
61.53	01:25:46
61.56	01:25:56
61.55	01:26:06
61.54	01:26:16
61.54	01:26:26
61.57	01:26:37
61.54	01:26:47
61.53	01:26:57
61.55	01:27:07
61.55	01:27:17
61.54	01:27:27
61.53	01:27:37
61.53	01:27:47
61.53	01:27:57
61.55	01:28:07
61.54	01:28:17
61.54	01:28:27
61.55	01:28:37
61.55	01:28:47
61.53	01:28:58
61.53	01:29:08
61.52	01:29:18
61.54	01:29:28
61.54	01:29:38
61.54	01:29:48
61.53	01:29:58
61.54	01:30:08
61.54	01:30:18
61.54	01:30:28
61.54	01:30:38
61.55	01:30:48
61.55	01:30:58
61.54	01:31:09
61.53	01:31:19
61.54	01:31:29
61.56	01:31:39
61.55	01:31:49
61.54	01:31:59
61.54	01:32:09
61.54	01:32:19
61.54	01:32:29
61.53	01:32:39
61.54	01:32:49
61.54	01:32:59
61.54	01:33:09
61.54	01:33:19
61.53	01:33:30
61.53	01:33:40
61.53	01:33:50
61.54	01:34:00
61.54	01:34:10
61.54	01:34:20
61.55	01:34:30
61.56	01:34:40
61.54	01:34:50
61.53	01:35:00
61.54	01:35:10
61.53	01:35:20
61.57	01:35:30
61.54	01:35:40
61.53	01:35:51
61.53	01:36:01
61.54	01:36:11
61.54	01:36:21
61.52	01:36:31
61.52	01:36:41
61.54	01:36:51
61.54	01:37:01
